name,sku,amount sold
"""H"" Car Decal / Crimson",2722,1
Watercolor Postcard,632,1
Harvard Crest Postcard / Black,2992,1
Harvard Spirit Jersey / Crimson / XS,10626,1
Harvard Teddy Bear / Chocolate,10477,1
Hat & Tee Combo / L,11006,2
Harvard Youth Crest T-Shirt / Oxford / YL,3097,2
Harvard Youth Crest T-Shirt / Oxford / YXS,3094,2
Harvard Youth Crest T-Shirt / Oxford / YS,3095,2
Harvard Youth Crest T-Shirt / Oxford / YM,3096,1
Harvard Polar Bear / White,10581,1
Future Freshman Onesie / 24M / Oxford,10579,1
Harvard 3D Crest Magnet / White,1514,2
Harvard Hooded Crest Sweatshirt / Oxford / S,3692,2
Harvard Graduate School of Education Hooded Sweatshirt / Crimson / M,3891,1
Harvard Est. 1636 Hat / Navy,11093,2
Harvard 1636 Pin / Gold,895,2
Harvard Ladies Crest T-Shirt / Pink / S,3769,2
Harvard Hooded Arc Sweatshirt / Crimson / S,2147,1
Vintage Crew T-Shirt / Oxford / S,10344,1
Harvard Athletic Shield Hat / Crimson,11016,1
Crest Tote Bag,10681,2
Harvard Medical School T-Shirt / L / Crimson,10,1
Harvard Medical School T-Shirt / S / Crimson,8,2
Harvard Arc T-shirt / S / Crimson,1200,1
Harvard Arc T-shirt / M / Crimson,1201,1
Havard Ladies Crest TriBlend / Oxford / XS,10978,1
Harvard Future Freshman Shirt / Oxford / YS,656,1
Harvard Pencil / 6pk Pencil Pack / Crimson,10118,2
Harvard Youth Arc T-Shirt / Oxford / YXS,659,1
Harvard Etched Crest Shot Glass / Etched Crest,776,1
Harvard Crest T-Shirt / S / Navy,3941,1
Harvard Crest T-Shirt / S / Crimson,264,1
Hat & Tee Combo / XL,11007,1
Harvard Crest Hat / Crimson,10736,1
Harvard Crest Hat / Ivory,10742,2
Harvard Rugby Shirt / Crimson / Striped / S,10956,1
Harvard Youth Arc T-Shirt / Oxford / YL,662,1
Harvard Spirit Jersey / Crimson / S,10627,1
Harvard Est. 1636 Hat / Crimson,11094,1
Harvard Business School Pin / Crimson,872,1
Harvard Leather Keychain / Brown,1688,1
Harvard Crest T-Shirt / M / Crimson,265,2
Harvard Barrel Pen / White,611,1
Ladies French Terry Crew / Blue / L,10761,1
Ladies French Terry Crew / Blue / S,10759,1
Harvard Magnet Set / Crimson,10994,1
Harvard Athletic Shorts / Black / L,10491,1
Harvard Graduate School of Education Long Sleeve T-Shirt / Crimson / M,10700,1
Future Freshman Onesie / 18M / Oxford,10565,1
Harvard Collegiate Bowl / Crimson,4317,1
Harvard Ladies Crest T-Shirt / Oxford / XL,3776,1
Harvard Kennedy School of Government Mug / White,3552,1
Vacuum Tumbler 10 oz. / Crimson,10851,1
Harvard Ladies Athletic Shorts / Maroon / M,10494,1
Harvard Quarter Zip Applique / Oxford / S,10600,1
Leather Harvard Padfolio / Black,10070,1
Hahvahd T-Shirt / L / Crimson,1391,1
Harvard Panda Bear / ,10478,1
Harvard Hockey Applique Sweatshirt / Oxford / XS,10686,1
Hahvahd T-Shirt / S / Crimson,1389,1
Harvard H Shield Pin / Black,882,1
Women's Big Stripe Long Tee / Oxford / S,10837,1
Ladies Vineyard Vines Shep Shirt / Navy / XS,3211,1
Harvard Future Freshman Shirt / Oxford / YM,657,1
Harvard Future Freshman Shirt / Pink / YXS,663,1
Harvard T-Shirt Keychain / Crimson,784,1
Harvard Business School Barrel Pen / White,613,1
Harvard Kennedy School of Government T-Shirt / XL / Oxford,542,1
Engraved Color Harvard Keychain / Silver,1644,1
Tower Shield Keychain / Silver,10113,1
Ladies Arc T-Shirt / Blue / L,10719,1
Harvard 3D Weeks Bridge Magnet,10095,1
Harvard Pocket Umbrella / Crimson,1438,1
Harvard Crest Hat / Black,10743,1
