name,amount sold
Harvard Applique Full Zip / S / Crimson,2
Engraved Color Harvard Keychain / Silver,1
Harvard Crest Hat / Crimson,3
Harvard Ladies Crest T-Shirt / Crimson / L,2
Silver Rectangular Keychain / Silver,3
Tower Shield Keychain / Silver,2
Inside Harvard Third Edition,1
White Harvard Pen / White,3
Harvard Panda Bear / ,2
Harvard Youth Crest T-Shirt / Crimson / YXS,5
Ladies Arc T-Shirt / Crimson / M,2
Ladies French Terry Crew / Blue / S,1
Harvard Hooded Crest Sweatshirt / Navy / S,2
Harvard Crest T-Shirt / M / Oxford,2
Harvard Arc T-shirt / S / Crimson,3
Harvard Crest T-Shirt / S / Oxford,3
Harvard 1636 Pin / Gold,3
Harvard Steel Water Bottle / Crimson,1
Harvard Future Freshman Shirt / Oxford / YS,2
Pro-Weave Hood / Ivory / M,1
Harvard Lanyard / Crimson,6
Harvard Hooded Crest Sweatshirt / Oxford / M,1
Harvard Crest T-Shirt / M / Navy,2
Harvard Arc T-shirt / M / Black,1
Harvard Ladies Crest T-Shirt / Pink / S,2
Harvard H Infant Onesie / Blue / 9-12M,1
H Ping Pong Ball 6-pack / White,1
Leather Strap Keychain / Crimson,1
Harvard Pin / Crimson,1
Harvard Kennedy School Pin / Crimson,1
Harvard Pencil / 6pk Pencil Pack / Crimson,4
3-in-1 LED Stylus Pen / Black,4
Harvard Leather Keychain / Brown,2
Classic Harvard Swiss Army Knife / Crimson,2
Spartan Harvard Swiss Army Knife / White,1
Harvard T-Shirt Keychain / Crimson,1
Harvard H Magnet Clip / Crimson,1
Harvard Barrel Pen / White,2
Hahvahd T-Shirt / M / Crimson,3
Harvard Arc T-shirt / XXL / Crimson,1
Harvard Ladies Crest T-Shirt / Crimson / XL,1
Harvard Crest Hat / Ivory,1
Harvard Youth Crest T-Shirt / Pink / YS,1
Harvard Youth Crest T-Shirt / Crimson / YS,5
Premium Comfort T-Shirt / Oxford / M,1
Havard Ladies Crest TriBlend / Oxford / L,1
Harvard 3D Johnston Gate Magnet,6
Women's Big Stripe Long Tee / Oxford / M,1
Future Freshman Onesie / 12M / Oxford,2
Harvard Hooded Arc Sweatshirt / Crimson / L,2
Pro-Weave Crewneck / Ivory / M,1
Harvard Crest T-Shirt / S / Crimson,1
Harvard Arc T-shirt / M / Crimson,3
Harvard Hooded Arc Sweatshirt / Crimson / S,1
Harvard Crest T-Shirt / M / Crimson,2
Ladies Arc T-Shirt / Crimson / L,1
Cozy Full Zip Hoodie / M / Charcoal,1
Harvard Ladies Crest T-Shirt / Crimson / M,1
Pro-Weave Crewneck / Black / S,1
Future Freshman Onesie / 6M / Oxford,1
Harvard Crest T-Shirt / XXL / Navy,2
Premium Comfort T-Shirt / Oxford / L,1
Harvard Crest T-Shirt / S / Navy,1
Harvard Crest T-Shirt / L / Navy,1
H Long Sleeve Victory Tee / XL / Ivory,1
Harvard Tumbler / Crimson,1
Harvard Ladies Athletic Shorts / Maroon / L,2
Premium Faded T-Shirt / Navy / L,1
Harvard Etched Crest Shot Glass / Etched Crest,2
Harvard Folder / Black,1
Women's Big Stripe Long Tee / Oxford / S,1
Harvard Youth Arc T-Shirt / Crimson / YL,1
Harvard Crest Joggers / XS / Oxford,1
3-in-1 LED Stylus Pen / Crimson,3
Red Harvard Pen / Crimson,6
Harvard Ladies Athletic Shorts / Maroon / S,1
Classic H Hat / Crimson,1
Harvard Youth Crest T-Shirt / Crimson / YL,1
Hat & Tee Combo / M,1
Harvard Arc T-shirt / XL / Crimson,2
Harvard Crest T-Shirt / XL / Navy,3
Harvard Quarter Zip Applique / Oxford / L,1
Harvard Ladies Athletic Shorts / Maroon / M,1
Harvard Premium Hood / Oxford / L,1
Harvard Premium Hood / Charcoal / L,1
Harvard Business School Pin / Crimson,1
Harvard Ladies Crest T-Shirt / Oxford / L,1
Harvard Youth Arc T-Shirt / Oxford / YL,1
Harvard Youth Arc T-Shirt / Oxford / YXS,1
Harvard Dog / Brown,1
Harvard Future Freshman Shirt / Oxford / YXS,2
Harvard Arc T-shirt / S / Black,1
Harvard Arc T-shirt / S / Oxford,1
Harvard Youth Crest T-Shirt / Crimson / YM,2
H Long Sleeve Victory Tee / S / Ivory,1
Harvard Crest T-Shirt / L / Oxford,2
Harvard Future Freshman Shirt / Oxford / YL,1
Harvard Charge Pack / Crimson,3
Harvard Speckled Mug / Crimson,1
Premium Faded T-Shirt / Oxford / M,1
Harvard Crest T-Shirt / XL / Crimson,1
Premium Comfort T-Shirt / Navy / XL,1
H Long Sleeve Victory Tee / XL / Crimson,1
Harvard Pewter Magnet Clip / Silver,1
Hat & Tee Combo / S,1
Crest Travel Mug / Silver,3
Harvard Polar Bear / White,1
H Long Sleeve Victory Tee / M / Ivory,1
Vintage Crew T-Shirt / Oxford / M,1
Harvard Collegiate Tee / Oxford / L,1
Harvard Crest T-Shirt / L / Crimson,3
Harvard Youth Crest T-Shirt / Pink / YM,1
Harvard Future Freshman Shirt / Pink / YL,1
Harvard Applique Full Zip / XS / Crimson,1
Harvard Quarter Zip Applique / Oxford / S,1
Harvard Crest Bib / Crimson / Striped,2
Watercolor Postcard,3
H Long Sleeve Victory Tee / L / Ivory,1
Black & White Postcard,2
Harvard Spirit Jersey / Crimson / M,1
Harvard Spirit Jersey / Crimson / L,1
Harvard 3D Crest Magnet / White,4
Endure Bottle / Black,1
Harvard Arc T-shirt / XL / Black,1
Harvard Youth Crest T-Shirt / Pink / YL,1
Crest Spinner Keychain / Crimson,3
Harvard Pocket Umbrella / Crimson,1
